,Tworzenie drzewa AVL,Tworzenie drzewa BST,std BST,std_AVL
0,5.038309999996216e-05,0.03139206579999994,0.005093411853123091,6.117673453893594e-06
0,4.329800000046902e-05,0.05663881270000033,0.006877106311566599,1.0397243673435549e-05
0,4.379300000039166e-05,0.09856498130000091,0.014629500199293077,1.4277379346020817e-05
0,3.615000000110058e-05,0.11783283039999759,0.01816629439889888,1.058396050318287e-05
0,5.1120999998488514e-05,0.14471407700000044,0.01780442787936227,1.423096093296509e-05
0,4.0673999990303855e-05,0.19083756729999096,0.024672600548380438,1.3959363314026016e-05
0,4.832010000654918e-05,0.20555496379998886,0.02060436373211178,1.69451649322745e-05
0,4.1360000000167926e-05,0.2602739043000156,0.016211327657519436,1.3692729453526386e-05
0,3.8748999941162765e-05,0.2988860237000381,0.02777144683174645,1.5006782090197529e-05
0,6.485700002940575e-05,0.3256729233999522,0.02630183081982504,1.1972962072661185e-05
