,Tworzenie drzewa AVL,Tworzenie drzewa BST,std_BST,std_AVL
0,0.007437757200000039,0.007631782500000117,0.0010545448745388345,0.0017946950426411677
0,0.014829918400000076,0.013319449099999936,0.003774604393570447,0.0036117410375437983
0,0.016250788099999625,0.023817549999998987,0.004721049510160022,0.0013539586004095684
0,0.028555676999998524,0.02955097040000254,0.00412701472876218,0.003890845620183422
0,0.03253319049999561,0.03189068359999965,0.004740122747226494,0.005812619659493206
0,0.04018637940000076,0.04460379989999978,0.0048094841832103255,0.004114611905145079
0,0.04637230589999604,0.05029956700000184,0.006391568632656311,0.0037037081377630093
0,0.05689424970001937,0.05633730160001278,0.004466072096378401,0.006780054914376776
0,0.06107381360002364,0.06239423839997471,0.0035576417238663534,0.009817912693965515
0,0.06768753200001357,0.0778742862999934,0.008017596482474533,0.00826580440975611
