,Unnamed: 0,e_nxts_0.1_mean,e_nxts_0.2_mean,e_nxts_0.3_mean,e_nxts_0.4_mean,e_nxts_0.5_mean,e_nxts_0.6_mean,e_nxts_0.7_mean,e_nxts_0.8_mean,e_nxts_0.9_mean,e_neigh_0.1_mean,e_neigh_0.2_mean,e_neigh_0.3_mean,e_neigh_0.4_mean,e_neigh_0.5_mean,e_neigh_0.6_mean,e_neigh_0.7_mean,e_neigh_0.8_mean,e_neigh_0.9_mean
0,0,0.0002887248992919,0.0010051727294921,0.0009880065917968,0.0,0.0006568431854248,0.0,0.0,0.0009958744049072,0.0,0.0049073696136474,0.002986192703247,0.0049591064453125,0.004915714263916,0.0031812191009521,0.0029699802398681,0.0049216747283935,0.0046989917755126,0.0050044059753417
1,1,0.0004663467407226,0.0010905265808105,0.0010092258453369,0.0009069442749023,0.0,0.0,0.0,0.0009171962738037,0.0016028881072998,0.0061118602752685,0.0048046112060546,0.004004955291748,0.0049085617065429,0.0053498744964599,0.0049741268157958,0.004946231842041,0.0049686431884765,0.0049202442169189
2,2,0.0011539459228515,0.0008974075317382,0.0,0.0010130405426025,0.0010888576507568,0.0009989738464355,0.0010163784027099,0.0009999275207519,0.0,0.0050008296966552,0.0050091743469238,0.0074799060821533,0.0046157836914062,0.0039141178131103,0.0049962997436523,0.0049166679382324,0.0040011405944824,0.0053608417510986
3,3,0.0,0.0009827613830566,0.0,0.0,0.0010485649108886,0.0,0.0009982585906982,0.0,0.0,0.0050861835479736,0.0050013065338134,0.0040326118469238,0.00510835647583,0.0050010681152343,0.0060117244720458,0.0040812492370605,0.0050010681152343,0.0060231685638427
4,4,0.0012319087982177,0.0,0.0,0.0,0.0,0.0,0.0005125999450683,0.001002550125122,0.0010037422180175,0.0055189132690429,0.0051379203796386,0.0040037631988525,0.0057325363159179,0.0060157775878906,0.0057225227355957,0.0062899589538574,0.0049192905426025,0.0049989223480224
5,5,0.0003652572631835,0.0,0.0009264945983886,0.0,0.0009281635284423,0.0009198188781738,0.0004055500030517,0.0009164810180664,0.0010030269622802,0.0050113201141357,0.0069048404693603,0.0059208869934082,0.0060012340545654,0.0062780380249023,0.0054271221160888,0.0059168338775634,0.0042421817779541,0.0040056705474853
6,6,0.0009999275207519,0.0,0.000934362411499,0.0004646778106689,0.0005736351013183,0.0011210441589355,0.0,0.0010769367218017,0.0,0.0059938430786132,0.0049140453338623,0.0059781074523925,0.0056548118591308,0.0070905685424804,0.0040016174316406,0.0049428939819335,0.0060551166534423,0.0069096088409423
7,7,0.0,0.001000165939331,0.0,0.0,0.0,0.0013740062713623,0.0,0.0004980564117431,0.0009992122650146,0.0059170722961425,0.006495714187622,0.0050089359283447,0.0060927867889404,0.0069110393524169,0.0059988498687744,0.0060012340545654,0.0059189796447753,0.0058019161224365
8,8,0.001206636428833,0.0009980201721191,0.001131534576416,0.0,0.0010228157043457,0.0009512901306152,0.0011065006256103,0.0,0.0010104179382324,0.0059943199157714,0.0069639682769775,0.0039999485015869,0.0095224380493164,0.0069978237152099,0.0069096088409423,0.0065891742706298,0.0063936710357666,0.0320072174072265
9,9,0.0005304813385009,0.0,0.0,0.0,0.0009067058563232,0.0010766983032226,0.0010583400726318,0.0009999275207519,0.0010921955108642,0.0069973468780517,0.0089964866638183,0.0069618225097656,0.0069186687469482,0.0070075988769531,0.0065207481384277,0.0050017833709716,0.0073978900909423,0.0100960731506347
