,h_nxts_0.1_mean,h_nxts_0.1_std,h_nxts_0.2_mean,h_nxts_0.2_std,h_nxts_0.3_mean,h_nxts_0.3_std
0,0.00032329559326171875,0.0,0.04304170608520508,0.0,0.12406015396118164,0.0
1,0.00816488265991211,0.0,4.053244113922119,0.0,0.0056378841400146484,0.0
2,0.0010471343994140625,0.0,0.09967970848083496,0.0,19.029947996139526,0.0
3,0.011090517044067383,0.0,0.05642890930175781,0.0,0.1382617950439453,0.0
4,0.008430004119873047,0.0,0.34977102279663086,0.0,0.007417440414428711,0.0
5,0.00911402702331543,0.0,0.38897013664245605,0.0,2.242159605026245,0.0
6,0.07137370109558105,0.0,0.0020151138305664062,0.0,184.3799433708191,0.0
7,0.01938462257385254,0.0,4.575995445251465,0.0,0.8224823474884033,0.0
8,0.02691364288330078,0.0,9.567821264266968,0.0,0.09118151664733887,0.0
9,0.17791056632995605,0.0,289.1436038017273,0.0,0.03188490867614746,0.0
