,h_nxts_0.1_mean,h_nxts_0.1_std,h_nxts_0.2_mean,h_nxts_0.2_std
0,0.0003310203552246094,0.00042306793675900176,0.0008403778076171875,0.0004219457999877997
1,0.0006695270538330078,0.0004099838121952106,0.0006634712219238282,0.0005643372380585552
2,0.0006352424621582031,0.00048332767118350556,0.0010081291198730468,0.0001291368521963757
3,0.0005548954010009766,0.0004547488154408737,0.0011610984802246094,0.0003805406402349701
4,0.000435638427734375,0.0005338227743426871,0.0009987831115722656,0.0010946695234398847
5,0.0003994941711425781,0.0004892784372577064,0.0013646125793457032,0.0004842862174670459
6,0.000399017333984375,0.0004886959222476899,0.0021695613861083983,0.0020179158643364686
7,0.000597381591796875,0.00048777534029064595,0.0019698143005371094,0.0006332449704552199
8,0.0007833003997802735,0.00039309414179311834,0.0064544200897216795,0.0052146229899958695
9,0.0007931232452392578,0.0004022941353150177,0.004622507095336914,0.002363282630358196
