,algorytm dynamiczny_std,algorytm zachłanny_std,algorytm siłowy_std,capacity
0,1.839483418441447e-05,2.769033335079248e-06,5.745178722358646e-06,50
1,7.994037444896425e-06,1.3626756826625066e-06,5.820550142361988e-05,100
2,4.124342810198242e-05,3.888489348959944e-06,0.0006731133812160012,150
3,1.8109700800541857e-05,4.0647862283529985e-06,0.005611852467798284,200
4,1.4401482132641817e-05,3.943327658988723e-06,0.02933378249173814,250
