,algorytm dynamiczny_mean,algorytm zachłanny_mean,capacity
0,0.04461201032002767,3.544489542643229e-05,1000
1,0.17194493611653647,6.087621053059896e-05,2000
2,0.3945182164510091,9.393692016601562e-05,3000
3,0.7178276379903158,0.00012381871541341147,4000
4,1.1409106254577637,0.0001540978749593099,5000
5,1.6637353897094727,0.00018699963887532553,6000
6,2.288431406021118,0.00022180875142415365,7000
7,2.9976723988850913,0.00025455156962076825,8000
8,3.811946153640747,0.00032631556193033856,9000
9,4.717717329661052,0.0003219445546468099,10000
